time,ax,ay,az,aT
2.577000,-0.1927,-0.0863,0.2896,0.358
2.578000,-0.0182,-0.1777,0.4039,0.442
2.610000,0.2086,-0.2958,0.2880,0.463
2.613000,0.3135,-0.2685,0.1909,0.455
2.615000,0.3481,-0.2674,0.1020,0.451
2.636000,0.1529,-0.2117,-0.0695,0.270
2.640000,0.1169,-0.2240,-0.2185,0.334
2.641000,0.2254,-0.2228,-0.3660,0.484
2.660000,0.4813,-0.1007,-0.7199,0.872
2.663000,0.4348,-0.2714,-0.1392,0.531
2.691000,0.3738,-0.2319,0.3559,0.566
2.707000,0.1935,-0.2353,0.3691,0.479
2.708000,-0.0649,-0.3243,0.2623,0.422
2.710000,-0.3168,-0.2319,0.1372,0.416
2.712000,-0.2869,-0.2510,0.1071,0.396
2.728000,-0.2095,-0.3161,0.1686,0.415
2.730000,0.0463,-0.2184,0.2145,0.310
2.742000,0.2500,-0.2010,0.3197,0.453
2.776000,0.3018,-0.1786,0.2875,0.453
2.782000,0.3944,-0.1847,0.3137,0.537
2.784000,0.2836,-0.2030,0.2315,0.419
2.785000,0.2936,-0.1777,-0.2903,0.449
2.808000,-0.0780,-0.0849,-1.3204,1.325
2.811000,0.0785,-0.0756,-1.6873,1.691
2.813000,0.0253,-0.2722,-1.3640,1.391
2.821000,0.4376,-0.0518,-1.0968,1.182
2.828000,0.7357,-0.1042,-0.8172,1.105
2.842000,0.5666,-0.2809,-0.6728,0.923
2.866000,-0.0844,-0.2614,-0.1829,0.330
2.871000,-0.8522,-0.2264,0.3916,0.965
2.877000,-0.6631,-0.1616,0.8455,1.087
2.878000,-0.6590,-0.1648,0.8389,1.079
2.900000,-0.2896,-0.1902,0.9144,0.978
2.902000,-0.0601,-0.1673,0.8287,0.848
2.908000,-0.1035,-0.1419,0.8006,0.820
2.937000,0.3238,-0.1853,0.8122,0.894
2.941000,0.3341,-0.3395,0.6959,0.843
2.942000,0.4855,-0.3305,0.2865,0.653
2.965000,0.7044,-0.3583,-0.1736,0.809
2.968000,0.4778,-0.3748,-0.3359,0.694
2.969000,-0.1690,-0.4284,-0.4239,0.626
2.980000,-0.4516,-0.3884,-0.3079,0.670
3.003000,0.2388,-0.3320,-0.2069,0.458
3.014000,1.3022,-0.4888,-0.7114,1.562
3.015000,1.3188,-0.5010,-0.7283,1.588
3.019000,0.9195,-0.4200,-0.5611,1.156
3.029000,1.2740,-0.3481,-0.5152,1.418
3.038000,1.2440,-0.3026,-0.1743,1.292
3.050000,1.0114,-0.1874,-0.1174,1.035
3.059000,1.1166,-0.2262,-0.2642,1.170
3.089000,0.8040,-0.3071,-0.2382,0.893
3.091000,0.4752,-0.2067,-0.3478,0.624
3.092000,0.5726,-0.4562,-0.3163,0.798
3.108000,0.5678,-0.4532,-0.3134,0.791
3.111000,0.3078,-0.3419,-0.4072,0.614
3.121000,0.7091,-0.4556,-0.3989,0.933
3.128000,1.0299,-0.3623,-0.2782,1.127
3.140000,0.6743,-0.7215,-0.9258,1.354
3.159000,-1.1473,-0.2447,-0.4453,1.255
3.160000,-0.8765,-0.7266,-1.0565,1.553
3.192000,-1.1744,0.0509,-0.5683,1.306
3.194000,-0.6553,-0.2289,-0.0475,0.696
3.195000,-0.1900,-0.3203,0.1601,0.405
3.207000,0.1805,-0.4112,1.0895,1.178
3.209000,1.1128,-0.2907,1.2052,1.666
3.219000,1.0493,-0.3164,1.0359,1.508
3.228000,0.8726,-0.0815,1.5928,1.818
3.238000,0.7260,-0.6464,1.1165,1.480
3.258000,0.5334,-0.5995,0.7042,1.068
3.273000,0.2586,-0.0675,0.3352,0.429
3.274000,-0.2080,-0.0421,0.6237,0.659
3.278000,-0.6064,-0.0644,0.9488,1.128
3.296000,-0.7412,-0.0866,0.4798,0.887
3.299000,-0.3170,0.0918,-0.1556,0.365
3.309000,0.3003,-0.1096,-0.3339,0.462
3.318000,0.2843,-0.0366,-0.2790,0.400
3.328000,0.1025,-0.0949,0.2985,0.330
3.339000,-0.0187,-0.3113,1.2172,1.257
3.364000,0.8666,-0.4327,-1.2652,1.593
3.365000,-0.8885,0.2550,0.4930,1.048
3.368000,-0.0549,-0.7464,-0.6471,0.989
3.378000,0.4412,0.2908,0.3100,0.613
3.395000,-0.8365,-0.1233,0.7971,1.162
3.399000,-1.7657,-0.6032,0.2699,1.885
3.409000,-1.6299,-0.4300,-0.1602,1.693
3.418000,-1.2160,-0.0838,-0.7631,1.438
3.428000,-0.8261,-0.1424,-0.7427,1.120
3.439000,-0.6305,-0.3324,-0.7451,1.031
3.464000,-0.2663,-0.3802,-0.7773,0.905
3.466000,-0.2900,0.0215,-0.6094,0.675
3.468000,0.1398,0.0653,-0.9899,1.002
3.478000,0.3544,-0.4609,-0.8271,1.011
3.490000,-0.5214,-0.0146,-0.5781,0.779
3.503000,-0.7195,-0.0621,-0.4991,0.878
3.508000,-0.2062,-0.3615,-0.6748,0.793
3.519000,0.3933,-0.5734,-0.8967,1.135
3.528000,1.1246,-0.4545,-0.5382,1.327
3.538000,1.6985,-0.6265,-0.4038,1.855
3.560000,1.9632,-0.5715,-0.3014,2.067
3.561000,1.6361,-0.3780,-0.4423,1.736
3.590000,1.4540,-0.1955,-0.0192,1.467
3.592000,1.3107,-0.0784,0.4490,1.388
3.593000,0.3834,0.0700,0.8537,0.938
3.603000,-0.9912,0.0151,0.5266,1.123
3.608000,-1.8672,-0.1297,0.5012,1.938
3.619000,-1.0033,-0.0692,0.3577,1.067
3.628000,-0.4503,-0.3000,0.5702,0.786
3.639000,-0.7497,0.0426,1.1282,1.355
3.658000,-2.4206,2.1081,1.2500,3.445
3.660000,-0.8217,-2.0385,2.7475,3.518
3.674000,-1.2711,0.4992,1.2569,1.856
3.678000,1.7637,0.1991,1.0841,2.080
3.692000,2.9885,-1.2586,0.3951,3.267
3.706000,3.0474,-0.7192,-0.5791,3.184
3.710000,3.1833,-0.8619,-1.3383,3.559
3.720000,1.7280,-0.7631,-1.7868,2.600
3.728000,0.6941,-0.7814,-1.9341,2.198
3.738000,-0.1239,-0.5526,-1.9100,1.992
3.776000,-0.2711,-0.4219,-1.5905,1.668
3.781000,0.3579,-0.4736,-0.7152,0.929
3.782000,2.1682,-0.1223,0.3970,2.208
3.784000,2.1543,-0.1154,0.3924,2.193
3.788000,-1.1633,2.6611,1.9493,3.498
3.799000,-0.2481,-0.0004,-1.2841,1.308
3.808000,1.3200,0.6249,0.5613,1.565
3.818000,-0.1951,-1.1610,1.3335,1.779
3.828000,-0.6995,-0.6347,1.4286,1.713
3.839000,-1.1071,0.0525,1.9219,2.219
3.860000,-0.4297,0.1882,1.6564,1.722
3.864000,-0.3477,-0.8565,1.1753,1.495
3.895000,-0.3744,-1.6696,0.5707,1.804
3.897000,0.1580,-0.6577,0.4359,0.805
3.898000,0.9625,-0.2140,-0.1676,1.000
3.899000,1.1986,-0.8321,-0.4487,1.527
3.909000,1.5761,-0.5766,-0.8813,1.896
3.918000,0.7039,0.1258,-0.9468,1.186
3.928000,-0.3401,0.1512,-1.0098,1.076
3.938000,-0.7397,-0.2616,-0.6156,0.997
3.964000,-1.7031,-0.6259,-0.7943,1.981
3.967000,-0.8480,-0.5640,-0.7049,1.239
3.969000,0.6915,-0.7140,-0.3306,1.047
3.978000,1.7401,-0.9898,-0.6843,2.116
3.993000,1.8305,-0.6029,-1.0766,2.208
4.007000,1.0017,-0.1393,-1.6424,1.929
4.011000,0.3987,-0.4144,-2.0701,2.148
4.020000,-0.9166,0.1743,-1.4025,1.685
4.028000,-1.8936,0.1160,-1.3910,2.352
4.044000,-3.3175,0.3575,-0.9625,3.473
4.051000,-2.6034,0.1085,-1.0494,2.809
4.058000,-2.5814,0.1021,-1.0376,2.784
4.086000,-3.0303,-0.4508,-1.0607,3.242
4.089000,-2.2897,-1.4979,-0.6528,2.813
4.095000,-1.5254,-1.3930,-0.0073,2.066
4.110000,0.0326,-1.0119,-0.3355,1.067
4.112000,1.4938,-0.6555,-0.9135,1.870
4.123000,2.2842,-0.2896,-1.2650,2.627
4.129000,2.0867,-0.4889,-1.1066,2.412
4.139000,1.7643,-0.2781,-1.0186,2.056
4.170000,1.4952,-0.2405,-0.6670,1.655
4.172000,1.7785,-0.7233,-0.7808,2.073
4.172000,2.8765,0.2359,-1.0267,3.063
4.178000,2.8188,-0.0348,-1.1798,3.056
4.196000,1.4118,0.7826,-0.4973,1.689
4.199000,1.9025,1.1840,-1.0139,2.460
4.209000,1.8173,0.2691,-1.3829,2.299
4.219000,1.5562,-1.0782,-1.8664,2.659
4.229000,1.5877,-1.8903,-2.0659,3.219
4.239000,1.9039,-2.2986,-2.2791,3.755
4.267000,2.2407,-1.6408,-1.2496,3.045
4.270000,2.8859,-1.3677,-1.0436,3.360
4.271000,2.5203,-0.4675,-0.2425,2.575
4.278000,2.5470,-0.0189,-0.3212,2.567
